	Iozone: Performance Test of File I/O
	        Version $Revision: 3.506 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Sun Mar  9 10:59:19 2025

	Auto Mode
	Command line used: iozone -a -b -f /shared/test
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride                                        
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
"2048"   9841749  12882215  19355169  24416701  25888448  28844090  27286464  29236787  28089517  31487372 
"4096"   8712759  14072566  16929220  25458986  25919917  25123904  26935898  24375326  24833373  25610798  24655179 
"8192"   7765253  13386185  19978849  22637771  27382517  19502569  21108009  24098471  22697588  16927599  13065504  18788074 
"16384"   6291951  9729770  13919826  16960210  17966788  20631487  19601621  20582053  21782475  23854256  20926779  9769885  5030411 
"32768"   0  0  0  0  14409913  19980060  19980060  21266143  25661676  17310115  18115523  6780142  5083590 
"65536"   0  0  0  0  14286937  15911148  18881822  19355137  20851244  17593530  16960646  5219979  4666476 
"131072"   0  0  0  0  15371419  22807842  21988644  25500290  27840240  24022743  21874032  5614060  4705169 
"262144"   0  0  0  0  15399364  21331595  25431168  27067029  27215765  28892845  27101054  5411067  4543609 
"524288"   0  0  0  0  1569803  2729201  3316202  4762008  5984130  4249067  4690981  3272157  3364984 

"Random write report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   7940539  12902017  15972885  12902017  22737791 
"128"   7476717  8548124  14200794  18012359  18012359  21643049 
"256"   4929815  11207494  14164395  15835569  17096249  16828306  16072608 
"512"   7758090  10911694  13438092  9304292  15930214  16417355  17069844  17630404 
"1024"   5564829  9402175  11018226  15080341  14422045  15295157  15240881  13643232  16531459 
"2048"   7556202  10555264  12805399  13574363  12416686  13926483  13038646  14638464  16525279  16001943 
"4096"   5942934  10425907  11768599  14318876  15287223  13604523  15112405  16119138  15939671  16585996  13476460 
"8192"   6666867  8605412  10822627  15224943  15513658  9266865  13090393  15258749  13257065  13344594  7900959  15031784 
"16384"   5016457  7872723  9011438  11669509  10786622  11306626  11719262  9406146  13506702  12263001  14320120  12497164  10258466 
"32768"   0  0  0  0  10223978  11803611  10584598  11928594  11287873  10502903  10911485  9867246  8712560 
"65536"   0  0  0  0  10176590  10090296  11363847  10836126  11862090  11287319  11770154  10527765  9273318 
"131072"   0  0  0  0  4535197  5729917  5603531  6815649  7223572  5044936  6760832  4572541  4960942 
"262144"   0  0  0  0  3792808  3213491  4314774  3895333  3884489  4596278  4208515  4156726  4163589 
"524288"   0  0  0  0  1565268  2595419  2771268  3235643  3145173  2729814  3062950  2667536  2915286 

"Backward read report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   9006179  15972885  20962191  22737791  30484297 
"128"   5603747  14200794  25804035  25804035  31945770  31945770 
"256"   8815202  14353744  19591792  25684103  25084087  28401588  31762157 
"512"   9468384  15037801  15037801  25624554  28328790  8844453  28328790  32145217 
