	Iozone: Performance Test of File I/O
	        Version $Revision: 3.506 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Sun Mar  9 10:32:48 2025

	Auto Mode
	Command line used: iozone -a -b output.xlsx
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride                                        
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
          131072    2048   4511009   6744493  16740022  18721588  18424189   6415650  17162810   22374350   17935511   5686650   5161502  16459850  18066359
          131072    4096   3819106   6300362  11158973  15799031  10332045   6899216  12985292   20598741   11663231   4663460   4482942  12233704  15924424
          131072    8192   3571354   4948350   4784154   5190939   5193244   5269201   4638553   19045886   15203505   4889682   4620270   4692038   5283887
          131072   16384   2648445   4854878   4325659   4610815   4635971   5181545   4317268   10894493    4883254   5190351   4763138   4256136   4459017
          262144      64   2340632   3145318  19812874  19865496  15222408   3276228  17384461   22075086   16027444   2483033   4640056  20075508  20235117
          262144     128   3271763   4656189  19521952  21415106  18493544   3898980  19153984   22065783   19233056   3745443   4098238  20581315  21668325
          262144     256   3416130   4357455  21536752  21808867  21026863   4406810  21834419   22511690   19261020   4263956   4535044  21949929  22704138
          262144     512   3329232   3856760  22069769  22733713  22058700   3912994  21538439   22852785   21848737   4081837   3661989  22019824  22842815
          262144    1024   3306764   1288335   5471355  14604113  18403776   3460600  14683490   23003391   20540943   2678653   2348140  21896164  17188515
          262144    2048   2997203   4516286  18965662  20802097  20864466   3673490  18214448   21328285   19850433   4219967   3963592  17364967  20513733
          262144    4096   3056187   4361362  10108517  14924253   9531150   3708780   7625552   21183233   10188700   3855908   3934136   8533347   4262502
          262144    8192   2917576   3809075   4862173   5100466   4898064   4150090   4494832   17972393    5746231   3456216   3907710   4644741   4907399
          262144   16384   2642448   3415016   4023818   4192084   3647932   2043083   3671233   11761645    5491303   2992374   3060031   4010462   4105752
          524288      64   2070402   1265821    378250    659995    441844   1977139    278947   21529542     742534   2235111   1683470    233387    682178
          524288     128   2961157   2969579    479632    729014    797887   2354730    529355   21812719     783825   2758468   2200099    481791    736744
          524288     256   3023939   2373212    375109    787752   1095983   2555729    959989   22432419    1210424   2782503   2118609    538003    893284
          524288     512   3021363   2365419    558801    717455   1550945   2744460   1216493   22427385    1638528   2858774   2242714    655138   1298771
          524288    1024   2922698   2424040   1289815   1174606   1812688   2831294   1333615    8948401    1517981   2585909   2510862   1284447   1128782
          524288    2048   2954350   2983912   1845038   1570077   1629893   2817300   1592815   20990896    2469947   2902051   2742348   1770921   1598722
          524288    4096   2853358   2850244   1612890   1434381   1950708   2772030   1527129   21741981    1824479   2423580   2509347   1546381   1411170
          524288    8192   2539713   2481357   1097911   1630355   2095819   2497797   1572483   19986613    2406558   2205596   2089337   1624680   1456356
          524288   16384   2121995   2079879   1737854   1529321   2119551   2072831   1322210   12212873    2280494   1911486   1924600   1708335   1076548

iozone test complete.
Timer resolution is poor. Some small transfers may have 
reported inaccurate results. Sizes 64 kBytes and below.
Excel output is below:

"Writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   1722886  3363612  2358717  3363612  2662899 
"128"   2027414  4717434  5325799  5784891  6406138  4135958 
"256"   3557725  6249745  6554972  7073132  6398720  7314033  3756894 
"512"   2942541  6319739  6652558  6821616  7211022  6104175  7435738  3320137 
"1024"   3521025  6529233  6963241  7420395  7208671  7472033  6479979  5751117  3680961 
"2048"   778087  6298503  6845629  7529708  7318020  6568203  6939647  7643611  7582884  4038890 
"4096"   3571100  6468797  5542240  7339297  7542289  7289472  7625987  7434579  6944712  7173805  6714018 
"8192"   5171695  6239504  7044097  7166033  7205103  7099404  7281448  7217210  7179509  6930432  6214676  3241850 
"16384"   4662486  6127020  6775862  6995911  6954141  6904533  6896218  5845080  6758535  5614884  6104162  4295824  2899824 
"32768"   0  0  0  0  3968461  6255811  6255811  6808018  6003587  6833745  6213107  5199756  3659592 
"65536"   0  0  0  0  4661886  6778605  6547704  6820316  6971853  7043851  6734099  5781328  4131588 
"131072"   0  0  0  0  3371105  4105755  4764005  3975015  4238776  4511009  3819106  3571354  2648445 
