Iozone: Performance Test of File I/O
	        Version $Revision: 3.506 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Sun Mar  9 10:38:52 2025

	Auto Mode
	Command line used: iozone -a -b output.xlsx
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride                                        
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
          262144     256   3401366   4465152  17930482  23291379  19339279   3820736  21515259   21933291   21459410   3721685   4189273  22336989  22794984
          262144     512   3026541   4104848  22432234  23190671  21672169   4360860  21982843   22696171   22043663   3979587   3846291  22275896  22550011
          262144    1024   3349689   4553563  21729562  22828586  22015856   3627843  21573939   22193164   21534643   3631354   4029392  21296888  21963961
          262144    2048   3431600   4098177  19117683  21527896  21671742   3318190  20395392   21241755   21361019   3236105   4309380  20340305  22696171
          262144    4096   3162544   4726809  14242229  18348494  17124534   3820722  10615730   21427626   16830941   4453685   4105293  12874118  18749940
          262144    8192   2834853   4401130   4569915   4946676   4742794   2996207   4543853   16697264    6256118   3163426   3871113   4564830   4847874
          262144   16384   2296707   3996773   4250407   4418995   4343444   4036774   4239623   11234890    5035804   3517482   3339749   4250555   4343444
          524288      64   1271028   1302268    320368    675326    918474   2145361    442437   20629160     968772   2640160   1505571    737278    810528
          524288     128   2308489   2092096    283797    584750   1072654   1480086    935119   18503785    1193022   2020962   1595923    362704    779450
          524288     256   2264282   2361999    559585    852833   1647419   1686660    910590   18107629    1501139   1791580   2360255    989966    942984
          524288     512   2201817   2334204    615927   1101230   2109794   2107588    873894   18390817    2027056   1721800   1952566   1758595   1085704
