# iozone -a -b output.xlsx
	Iozone: Performance Test of File I/O
	        Version $Revision: 3.506 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Tue Mar 11 12:25:41 2025

	Auto Mode
	Command line used: iozone -a -b output.xlsx
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride                                        
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
"256"   9434868  13454450  14953435  16072608  16072608  18259146  17096249 
"512"   9859630  12499490  16543832  17069844  17630404  17630404  20490142  18229030 
"1024"   9569770  13305116  15977962  17616353  19719260  18291580  19363647  18936769  20869039 
"2048"   9653719  13467949  16122077  17360217  17221003  18441025  18928661  19139540  19139540  18129656 
"4096"   8260324  12643359  15006799  16715094  18202760  18698043  19050521  18378010  18616995  17660123  16380411 
"8192"   8289830  11192805  15144416  16512708  16927599  17613101  18706245  17355106  16787005  10778492  15450872  15485690 
"16384"   8547405  10208178  13180291  11862900  13551983  13396116  14260686  13967924  12981110  9603317  11803808  10639656  11490003 
"32768"   0  0  0  0  10587860  13997522  14996384  12681437  14915013  14245617  13133445  12056254  8882613 
"65536"   0  0  0  0  6696204  14683801  15315404  15956406  16206653  13421244  16323104  12247384  9828368 
"131072"   0  0  0  0  7501429  15429227  16246312  17122719  16631142  17316885  16697313  13151799  10572876 
"262144"   0  0  0  0  6373839  15620546  16822443  17660055  18019225  17958890  17189590  15649449  11502033 
"524288"   0  0  0  0  6239747  8341614  8131135  15309928  14983518  10791385  14246548  13036130  10366990 

"Reader report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   12902017  22737791  22737791  30484297  55857768 
"128"   12842051  18637664  31945770  24620673  31945770  31945770 
"256"   14164395  17096249  25684103  21134280  23441229  23441229  31762157 
"512"   13109944  18869737  24457224  22183443  22414989  24457224  26908901  30329249 
"1024"   13142265  17124680  23886714  23754601  22748081  22748081  27744245  26876184  24292018 
"2048"   10903620  16122077  19486895  20658530  18970464  18284015  19486895  19847092  16122077  27997963 
"4096"   10263956  14736477  17899319  20678564  18966395  19329161  21110529  21214804  21110529  23285086  26077293 
"8192"   9965682  13277557  18405631  19828962  18747070  19458391  21667054  20688596  19692587  20321517  20953542  16787005 
"16384"   8696680  13629933  11753336  17267043  12056459  18023335  16484211  15845643  15471067  8023471  7996396  5401707  5128010 
"32768"   0  0  0  0  21249703  21948773  22691656  19631876  12444890  10984741  6104381  5263076  4642610 
"65536"   0  0  0  0  16692849  23556644  25372238  25041702  23909067  11932636  12291195  5534661  4674491 
"131072"   0  0  0  0  22622015  24909861  26814994  27438667  27334980  26639578  14236180  4789072  4289310 
"262144"   0  0  0  0  23710267  25425875  25895352  28521846  30069394  26828607  20108920  5269448  4460895 
"524288"   0  0  0  0  24928051  25339972  24964841  30391801  29831500  26759007  23358874  5019984  4594864 

"Re-Reader report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   12310336  22737791  22737791  30484297  64000000 
"128"   12842051  18012359  21643049  25804035  31945770  31945770 
